matrix,split_step,classes,geometry,target_regions,state_count,observation_count,singular_index,singular_value,singular_value_normalized,energy_fraction,cumulative_energy_fraction
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,19,3.3292487453271457e-09,0.055031919661886475,0.0017857228511443928,0.9831215917147967
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,20,3.0967488352008225e-09,0.051188735401946066,0.0015450179608710987,0.9846666096756679
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,21,2.9132960121656396e-09,0.048156291210688616,0.0013673849493945143,0.9860339946250624
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,22,2.7516875512194442e-09,0.04548493063663868,0.0012198875662972177,0.9872538821913597
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,23,2.685893580554094e-09,0.04439736740995756,0.0011622489676426226,0.9884161311590023
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,24,2.4454172975622127e-09,0.04042233505325155,0.000963446329114154,0.9893795774881164
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,25,2.352484563697243e-09,0.038886172652891786,0.0008916104120527468,0.9902711879001691
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,26,2.3311948689925065e-09,0.03853425759389789,0.0008755455069998241,0.9911467334071689
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,27,2.25791397282222e-09,0.03732293675268572,0.0008213652954290137,0.991968098702598
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,28,2.2204639019957064e-09,0.036703893404858565,0.0007943446980963242,0.9927624434006942
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,29,2.0747046870863496e-09,0.03429451819186794,0.0006934803230434031,0.9934559237237376
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,30,1.8946007251689056e-09,0.03131743010947706,0.0005783050237468839,0.9940342287474845
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,31,1.7553733543016346e-09,0.02901602517568908,0.0004964329163990643,0.9945306616638835
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,32,1.6692813996895185e-09,0.027592939701406444,0.00044893211566832,0.9949795937795518
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,33,1.5841275772535357e-09,0.026185361393604435,0.00040429826306357714,0.9953838920426153
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,34,1.5244574529474072e-09,0.025199024313313077,0.00037441408878253617,0.9957583061313979
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,35,1.4288190447698035e-09,0.023618137573381777,0.00032890920443188885,0.9960872153358299
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,36,1.3468428443712933e-09,0.022263084821360926,0.0002922506011564637,0.9963794659369863
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,37,1.3083477774940185e-09,0.021626767865248062,0.0002757833029359173,0.9966552492399222
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,38,1.2921106112947221e-09,0.021358370249398375,0.00026898059678716476,0.9969242298367094
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,39,1.2062657566113553e-09,0.0199393692952185,0.00023442696510126736,0.9971586568018106
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,40,1.09493127468e-09,0.018099029106206272,0.0001931502560355679,0.9973518070578462
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,41,1.0652963520836145e-09,0.01760916883914165,0.00018283630940601795,0.9975346433672523
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,42,1.0341223001227086e-09,0.017093867023542566,0.00017229210362689734,0.9977069354708792
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,43,1.0030627135348219e-09,0.016580457301233566,0.00016209803130970923,0.9978690335021889
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,44,9.432811765462992e-10,0.01559227858811275,0.00014335204828809346,0.998012385550477
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,45,9.227082533769582e-10,0.015252211641581819,0.00013716723276684375,0.9981495527832438
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,46,8.84829580347808e-10,0.014626083571708737,0.0001261365163595098,0.9982756892996033
